commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Ludon-Médoc,33256,33290,Maison,92.0,336120.0,3653.48,2024-01-03
Canéjan,33090,33610,Maison,110.0,400000.0,3636.36,2024-01-08
Bordeaux,33063,33800,Appartement,53.0,175000.0,3301.89,2024-01-05
Bègles,33039,33130,Appartement,66.0,243000.0,3681.82,2024-01-05
Bègles,33039,33130,Appartement,38.0,137000.0,3605.26,2024-01-08
Talence,33522,33400,Maison,66.0,181000.0,2742.42,2024-01-09
Eysines,33162,33320,Maison,130.0,450000.0,3461.54,2024-01-05
Mérignac,33281,33700,Appartement,62.0,220000.0,3548.39,2024-01-10
Bordeaux,33063,33000,Appartement,25.0,180000.0,7200.0,2024-01-09
Villenave-d'Ornon,33550,33140,Maison,89.0,343000.0,3853.93,2024-01-08
Pessac,33318,33600,Appartement,63.0,289950.0,4602.38,2024-01-04
Gradignan,33192,33170,Appartement,100.0,308000.0,3080.0,2024-01-10
Pessac,33318,33600,Maison,106.0,430000.0,4056.6,2024-01-04
Talence,33522,33400,Maison,90.0,530970.0,5899.67,2024-01-03
Bègles,33039,33130,Appartement,92.0,660000.0,7173.91,2024-01-05
Bordeaux,33063,33000,Appartement,137.0,722000.0,5270.07,2024-01-09
Bordeaux,33063,33300,Appartement,58.0,221000.0,3810.34,2024-01-05
Bruges,33075,33520,Appartement,28.0,100000.0,3571.43,2024-01-08
Gradignan,33192,33170,Appartement,64.0,232000.0,3625.0,2024-01-05
Bordeaux,33063,33300,Appartement,68.0,140000.0,2058.82,2024-01-04
Bordeaux,33063,33300,Appartement,62.0,231000.0,3725.81,2024-01-02
Bordeaux,33063,33000,Appartement,83.0,403300.0,4859.04,2024-01-02
Mérignac,33281,33700,Appartement,43.0,170000.0,3953.49,2024-01-10
Talence,33522,33400,Maison,212.0,844160.0,3981.89,2024-01-05
Gradignan,33192,33170,Appartement,14.0,70000.0,5000.0,2024-01-08
Bordeaux,33063,33200,Appartement,103.0,290000.0,2815.53,2024-01-05
Bordeaux,33063,33000,Appartement,15.0,80000.0,5333.33,2024-01-11
Talence,33522,33400,Maison,79.0,350000.0,4430.38,2024-01-04
Le Bouscat,33069,33110,Appartement,54.0,160000.0,2962.96,2024-01-05
Talence,33522,33400,Appartement,15.0,73000.0,4866.67,2024-01-09
Eysines,33162,33320,Maison,67.0,248000.0,3701.49,2024-01-10
Macau,33262,33460,Maison,95.0,309201.0,3254.75,2024-01-11
Eysines,33162,33320,Maison,81.0,55356.0,683.41,2024-01-14
Bruges,33075,33520,Appartement,34.0,125000.0,3676.47,2024-01-08
Pessac,33318,33600,Appartement,60.0,220000.0,3666.67,2024-01-12
Villenave-d'Ornon,33550,33140,Maison,84.0,238825.0,2843.15,2024-01-03
Bordeaux,33063,33200,Appartement,67.0,272000.0,4059.7,2024-01-03
Bordeaux,33063,33200,Maison,38.0,415800.0,10942.11,2024-01-12
Bordeaux,33063,33200,Maison,60.0,415800.0,6930.0,2024-01-12
Mérignac,33281,33700,Appartement,34.0,136000.0,4000.0,2024-01-12
Bordeaux,33063,33200,Appartement,80.0,200000.0,2500.0,2024-01-03
Bruges,33075,33520,Appartement,57.0,210000.0,3684.21,2024-01-09
Bordeaux,33063,33000,Appartement,23.0,165000.0,7173.91,2024-01-08
Bordeaux,33063,33000,Appartement,25.0,140000.0,5600.0,2024-01-09
Mérignac,33281,33700,Maison,107.0,450000.0,4205.61,2024-01-12
Bordeaux,33063,33800,Appartement,22.0,105000.0,4772.73,2024-01-03
Bordeaux,33063,33000,Appartement,67.0,230000.0,3432.84,2024-01-03
Bordeaux,33063,33000,Appartement,73.0,349000.0,4780.82,2024-01-03
Pessac,33318,33600,Appartement,92.0,198500.0,2157.61,2024-01-12
Saint-Jean-d'Illac,33422,33127,Maison,84.0,339700.0,4044.05,2024-01-05
Mérignac,33281,33700,Appartement,65.0,279000.0,4292.31,2024-01-12
Pessac,33318,33600,Maison,71.0,450000.0,6338.03,2024-01-05
Pessac,33318,33600,Maison,71.0,450000.0,6338.03,2024-01-05
Talence,33522,33400,Appartement,42.0,199000.0,4738.1,2024-01-05
Pessac,33318,33600,Appartement,45.0,152500.0,3388.89,2024-01-08
Bordeaux,33063,33200,Maison,126.0,765000.0,6071.43,2024-01-09
Bordeaux,33063,33000,Appartement,16.0,100000.0,6250.0,2024-01-12
Talence,33522,33400,Maison,110.0,106650.0,969.55,2024-01-10
Bordeaux,33063,33000,Appartement,45.0,200000.0,4444.44,2024-01-05
Bordeaux,33063,33800,Appartement,23.0,87650.0,3810.87,2024-01-05
Listrac-Médoc,33248,33480,Appartement,26.0,58000.0,2230.77,2024-01-08
Mérignac,33281,33700,Maison,56.0,281600.0,5028.57,2024-01-09
Cestas,33122,33610,Maison,85.0,363400.0,4275.29,2024-01-05
Cestas,33122,33610,Maison,85.0,363400.0,4275.29,2024-01-05
Mérignac,33281,33700,Appartement,34.0,136000.0,4000.0,2024-01-03
Mérignac,33281,33700,Maison,139.0,657700.0,4731.65,2024-01-04
Bordeaux,33063,33200,Appartement,15.0,84000.0,5600.0,2024-01-11
Bordeaux,33063,33800,Appartement,16.0,50000.0,3125.0,2024-01-11
Bordeaux,33063,33800,Appartement,33.0,175000.0,5303.03,2024-01-09
Bordeaux,33063,33000,Appartement,100.0,475000.0,4750.0,2024-01-03
Bruges,33075,33520,Appartement,62.0,220000.0,3548.39,2024-01-11
Saint-Médard-en-Jalles,33449,33160,Maison,88.0,337000.0,3829.55,2024-01-03
Bordeaux,33063,33800,Appartement,21.0,90000.0,4285.71,2024-01-12
Cestas,33122,33610,Maison,99.0,390000.0,3939.39,2024-01-15
Bordeaux,33063,33000,Appartement,52.0,272900.0,5248.08,2024-01-04
Bordeaux,33063,33000,Appartement,120.0,695000.0,5791.67,2024-01-12
Le Porge,33333,33680,Maison,90.0,321000.0,3566.67,2024-01-12
Le Porge,33333,33680,Maison,90.0,321000.0,3566.67,2024-01-12
Mérignac,33281,33700,Appartement,64.0,214700.0,3354.69,2024-01-10
Bordeaux,33063,33300,Appartement,84.0,260000.0,3095.24,2024-01-10
Bordeaux,33063,33000,Appartement,24.0,135000.0,5625.0,2024-01-16
Mérignac,33281,33700,Appartement,46.0,160000.0,3478.26,2024-01-16
Talence,33522,33400,Maison,68.0,347550.0,5111.03,2024-01-10
Lacanau,33214,33680,Maison,81.0,437570.0,5402.1,2024-01-10
Mérignac,33281,33700,Appartement,48.0,146000.0,3041.67,2024-01-05
Talence,33522,33400,Appartement,49.0,200000.0,4081.63,2024-01-05
Bordeaux,33063,33000,Appartement,35.0,96500.0,2757.14,2024-01-08
Bègles,33039,33130,Maison,76.0,604600.0,7955.26,2024-01-04
Mérignac,33281,33700,Appartement,75.0,219000.0,2920.0,2024-01-17
Le Taillan-Médoc,33519,33320,Maison,116.0,369600.0,3186.21,2024-01-05
Talence,33522,33400,Maison,41.0,212000.0,5170.73,2024-01-12
Eysines,33162,33320,Appartement,43.0,121000.0,2813.95,2024-01-08
Bordeaux,33063,33000,Appartement,33.0,143000.0,4333.33,2024-01-10
Bordeaux,33063,33000,Appartement,19.0,70000.0,3684.21,2024-01-12
Bordeaux,33063,33000,Appartement,38.0,230000.0,6052.63,2024-01-11
Bordeaux,33063,33000,Appartement,92.0,460000.0,5000.0,2024-01-08
Talence,33522,33400,Maison,77.0,260000.0,3376.62,2024-01-11
Le Taillan-Médoc,33519,33320,Maison,142.0,529125.0,3726.23,2024-01-05
Villenave-d'Ornon,33550,33140,Appartement,41.0,164977.0,4023.83,2024-01-04
Bordeaux,33063,33000,Maison,94.0,320000.0,3404.26,2024-01-10
Bordeaux,33063,33000,Appartement,64.0,287000.0,4484.38,2024-01-03
Mérignac,33281,33700,Appartement,20.0,114999.0,5749.95,2024-01-03
Bordeaux,33063,33000,Appartement,14.0,89000.0,6357.14,2024-01-10
Bordeaux,33063,33000,Appartement,90.0,238000.0,2644.44,2024-01-19
Bordeaux,33063,33000,Appartement,40.0,147500.0,3687.5,2024-01-09
