commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Le Chambon-Feugerolles,42044,42500,Appartement,60.0,59500.0,991.67,2024-01-05
Saint-Chamond,42207,42400,Maison,100.0,295000.0,2950.0,2024-01-03
Saint-Étienne,42218,42100,Appartement,45.0,59500.0,1322.22,2024-01-03
Saint-Étienne,42218,42000,Appartement,85.0,127000.0,1494.12,2024-01-05
Saint-Étienne,42218,42000,Appartement,45.0,415000.0,9222.22,2024-01-03
Saint-Étienne,42218,42000,Appartement,60.0,415000.0,6916.67,2024-01-03
Saint-Étienne,42218,42000,Appartement,35.0,415000.0,11857.14,2024-01-03
Saint-Étienne,42218,42000,Appartement,40.0,415000.0,10375.0,2024-01-03
Saint-Étienne,42218,42000,Appartement,19.0,415000.0,21842.11,2024-01-03
Saint-Étienne,42218,42000,Appartement,35.0,415000.0,11857.14,2024-01-03
Saint-Étienne,42218,42000,Appartement,43.0,415000.0,9651.16,2024-01-03
Saint-Étienne,42218,42100,Appartement,85.0,102000.0,1200.0,2024-01-05
Saint-Étienne,42218,42100,Appartement,80.0,102000.0,1275.0,2024-01-05
Rive-de-Gier,42186,42800,Appartement,80.0,128000.0,1600.0,2024-01-04
Rive-de-Gier,42186,42800,Appartement,80.0,128000.0,1600.0,2024-01-04
Sury-le-Comtal,42304,42450,Maison,156.0,430000.0,2756.41,2024-01-02
Sury-le-Comtal,42304,42450,Maison,156.0,430000.0,2756.41,2024-01-02
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,15.0,800000.0,53333.33,2024-01-04
Saint-Étienne,42218,42100,Appartement,67.0,80000.0,1194.03,2024-01-08
Saint-Étienne,42218,42000,Appartement,34.0,53400.0,1570.59,2024-01-05
Le Bessat,42017,42660,Maison,91.0,315000.0,3461.54,2024-01-08
Le Bessat,42017,42660,Maison,91.0,315000.0,3461.54,2024-01-08
Saint-Étienne,42218,42100,Maison,90.0,180000.0,2000.0,2024-01-05
Lorette,42123,42420,Maison,49.0,178500.0,3642.86,2024-01-04
Montrond-les-Bains,42149,42210,Maison,218.0,369700.0,1695.87,2024-01-08
Saint-Chamond,42207,42400,Maison,90.0,228500.0,2538.89,2024-01-04
Mornand-en-Forez,42151,42600,Appartement,98.0,842074.0,8592.59,2024-01-10
Mornand-en-Forez,42151,42600,Appartement,60.0,842074.0,14034.57,2024-01-10
Verrières-en-Forez,42328,42600,Maison,60.0,159000.0,2650.0,2024-01-09
L'Horme,42110,42152,Maison,99.0,230000.0,2323.23,2024-01-05
Saint-Chamond,42207,42400,Appartement,44.0,52000.0,1181.82,2024-01-10
Saint-Genest-Malifaux,42224,42660,Appartement,54.0,48000.0,888.89,2024-01-10
Saint-Étienne,42218,42100,Appartement,68.0,50000.0,735.29,2024-01-09
Saint-Étienne,42218,42000,Appartement,49.0,36000.0,734.69,2024-01-08
Sury-le-Comtal,42304,42450,Maison,107.0,310500.0,2901.87,2024-01-10
Saint-Étienne,42218,42000,Appartement,50.0,53000.0,1060.0,2024-01-09
Lérigneux,42121,42600,Maison,100.0,50000.0,500.0,2024-01-05
Saint-Just-Saint-Rambert,42279,42170,Appartement,54.0,210000.0,3888.89,2024-01-04
Andrézieux-Bouthéon,42005,42160,Appartement,90.0,237000.0,2633.33,2024-01-04
Saint-Étienne,42218,42100,Appartement,44.0,195000.0,4431.82,2024-01-09
Saint-Étienne,42218,42100,Appartement,83.0,195000.0,2349.4,2024-01-09
Saint-Étienne,42218,42100,Appartement,39.0,195000.0,5000.0,2024-01-09
Saint-Étienne,42218,42100,Appartement,44.0,195000.0,4431.82,2024-01-09
Bonson,42022,42160,Maison,191.0,440000.0,2303.66,2024-01-05
Bonson,42022,42160,Maison,191.0,440000.0,2303.66,2024-01-05
Lorette,42123,42420,Maison,68.0,170000.0,2500.0,2024-01-02
Saint-Étienne,42218,42000,Maison,97.0,203500.0,2097.94,2024-01-04
Pélussin,42168,42410,Maison,175.0,432770.0,2472.97,2024-01-08
Pélussin,42168,42410,Maison,175.0,432770.0,2472.97,2024-01-08
Montrond-les-Bains,42149,42210,Maison,87.0,245000.0,2816.09,2024-01-05
Le Chambon-Feugerolles,42044,42500,Appartement,124.0,167000.0,1346.77,2024-01-12
Unieux,42316,42240,Maison,82.0,102000.0,1243.9,2024-01-12
Saint-Étienne,42218,42100,Appartement,64.0,81000.0,1265.62,2024-01-03
Rive-de-Gier,42186,42800,Appartement,65.0,113000.0,1738.46,2024-01-05
Le Chambon-Feugerolles,42044,42500,Maison,55.0,140000.0,2545.45,2024-01-09
Firminy,42095,42700,Appartement,57.0,100000.0,1754.39,2024-01-12
Saint-Hilaire-Cusson-la-Valmitte,42235,42380,Maison,209.0,220000.0,1052.63,2024-01-02
Pélussin,42168,42410,Maison,70.0,122000.0,1742.86,2024-01-04
Saint-Étienne,42218,42100,Appartement,88.0,117500.0,1335.23,2024-01-05
Saint-Étienne,42218,42000,Appartement,118.0,251750.0,2133.47,2024-01-15
La Grand-Croix,42103,42320,Maison,132.0,233900.0,1771.97,2024-01-11
Saint-Étienne,42218,42000,Appartement,35.0,46000.0,1314.29,2024-01-03
Rozier-Côtes-d'Aurec,42192,42380,Maison,40.0,60000.0,1500.0,2024-01-05
Saint-Étienne,42218,42100,Appartement,45.0,39000.0,866.67,2024-01-05
Villars,42330,42390,Maison,103.0,275000.0,2669.9,2024-01-05
Saint-Étienne,42218,42000,Appartement,23.0,38500.0,1673.91,2024-01-09
Saint-Étienne,42218,42100,Appartement,80.0,90850.0,1135.62,2024-01-02
Saint-Étienne,42218,42230,Maison,88.0,157500.0,1789.77,2024-01-08
Saint-Chamond,42207,42400,Appartement,75.0,370000.0,4933.33,2024-01-08
Saint-Chamond,42207,42400,Appartement,68.0,370000.0,5441.18,2024-01-08
Saint-Chamond,42207,42400,Appartement,75.0,370000.0,4933.33,2024-01-08
Saint-Chamond,42207,42400,Appartement,75.0,370000.0,4933.33,2024-01-08
Saint-Chamond,42207,42400,Appartement,62.0,370000.0,5967.74,2024-01-08
Saint-Chamond,42207,42400,Appartement,60.0,370000.0,6166.67,2024-01-08
Saint-Chamond,42207,42400,Appartement,46.0,370000.0,8043.48,2024-01-08
Saint-Chamond,42207,42400,Appartement,26.0,370000.0,14230.77,2024-01-08
Saint-Étienne,42218,42100,Appartement,79.0,74000.0,936.71,2024-01-09
Saint-Étienne,42218,42000,Appartement,73.0,155000.0,2123.29,2024-01-05
Saint-Étienne,42218,42100,Appartement,80.0,85500.0,1068.75,2024-01-09
Rozier-Côtes-d'Aurec,42192,42380,Maison,110.0,230000.0,2090.91,2024-01-03
Montbrison,42147,42600,Appartement,56.0,112000.0,2000.0,2024-01-08
Saint-Just-Saint-Rambert,42279,42170,Maison,86.0,382100.0,4443.02,2024-01-11
Panissières,42165,42360,Maison,70.0,50000.0,714.29,2024-01-11
Saint-Étienne,42218,42100,Appartement,78.0,73000.0,935.9,2024-01-10
Saint-Étienne,42218,42100,Appartement,52.0,30000.0,576.92,2024-01-11
Saint-Étienne,42218,42230,Maison,94.0,361000.0,3840.43,2024-01-05
Unieux,42316,42240,Maison,96.0,253300.0,2638.54,2024-01-10
Saint-Maurice-en-Gourgois,42262,42240,Appartement,75.0,91650.0,1222.0,2024-01-05
Saint-Maurice-en-Gourgois,42262,42240,Appartement,75.0,91650.0,1222.0,2024-01-05
La Talaudière,42305,42350,Maison,94.0,290000.0,3085.11,2024-01-04
Saint-Étienne,42218,42100,Appartement,51.0,61135.1,1198.73,2024-01-10
Lorette,42123,42420,Maison,89.0,267000.0,3000.0,2024-01-12
Lézigneux,42122,42600,Maison,124.0,180000.0,1451.61,2024-01-04
Saint-Étienne,42218,42100,Appartement,42.0,44000.0,1047.62,2024-01-05
La Grand-Croix,42103,42320,Appartement,60.0,95000.0,1583.33,2024-01-15
Saint-Étienne,42218,42000,Appartement,40.0,52000.0,1300.0,2024-01-03
