commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Saint-Sylvestre-Pragoulin,63400,63310,Maison,100.0,176980.0,1769.8,2024-01-04
Saint-Éloy-les-Mines,63338,63700,Appartement,40.0,25000.0,625.0,2024-01-02
Thiers,63430,63300,Maison,64.0,20000.0,312.5,2024-01-08
Vollore-Ville,63469,63120,Maison,133.0,348150.0,2617.67,2024-01-03
Savennes,63416,63750,Maison,70.0,21250.0,303.57,2024-01-04
Clermont-Ferrand,63113,63000,Appartement,77.0,199000.0,2584.42,2024-01-06
Issoire,63178,63500,Appartement,71.0,123950.0,1745.77,2024-01-04
Chamalières,63075,63400,Appartement,90.0,161000.0,1788.89,2024-01-04
Châtel-Guyon,63103,63140,Maison,68.0,88380.0,1299.71,2024-01-02
Beaumont,63032,63110,Maison,98.0,285000.0,2908.16,2024-01-04
Noalhat,63253,63290,Maison,90.0,125000.0,1388.89,2024-01-10
Arconsat,63008,63250,Maison,54.0,65777.0,1218.09,2024-01-10
Saint-Germain-Lembron,63352,63340,Maison,137.0,292805.0,2137.26,2024-01-06
Saint-Germain-Lembron,63352,63340,Maison,137.0,292805.0,2137.26,2024-01-06
Orcines,63263,63870,Maison,36.0,108700.0,3019.44,2024-01-03
Clermont-Ferrand,63113,63000,Appartement,51.0,170000.0,3333.33,2024-01-04
Chaumont-le-Bourg,63105,63220,Maison,70.0,35000.0,500.0,2024-01-05
Ménétrol,63224,63200,Maison,77.0,164000.0,2129.87,2024-01-08
Dore-l'Église,63139,63220,Maison,72.0,89000.0,1236.11,2024-01-05
Dore-l'Église,63139,63220,Maison,72.0,89000.0,1236.11,2024-01-05
Thiers,63430,63300,Appartement,76.0,37000.0,486.84,2024-01-10
Thiers,63430,63300,Appartement,82.0,35651.0,434.77,2024-01-09
Clermont-Ferrand,63113,63000,Appartement,68.0,137000.0,2014.71,2024-01-03
Clermont-Ferrand,63113,63100,Appartement,79.0,242075.0,3064.24,2024-01-02
Issoire,63178,63500,Maison,129.0,212230.0,1645.19,2024-01-12
Issoire,63178,63500,Maison,129.0,212230.0,1645.19,2024-01-12
Solignat,63422,63500,Maison,136.0,102800.0,755.88,2024-01-12
Chauriat,63106,63117,Maison,34.0,52500.0,1544.12,2024-01-08
Le Cendre,63069,63670,Appartement,90.0,230500.0,2561.11,2024-01-04
Orcet,63262,63670,Maison,79.0,245000.0,3101.27,2024-01-04
Cournon-d'Auvergne,63124,63800,Maison,83.0,218000.0,2626.51,2024-01-05
Riom,63300,63200,Maison,66.0,129783.0,1966.41,2024-01-03
Mont-Dore,63236,63240,Maison,60.0,204000.0,3400.0,2024-01-09
Beaumont,63032,63110,Appartement,86.0,228000.0,2651.16,2024-01-04
Cébazat,63063,63118,Maison,56.0,112010.0,2000.18,2024-01-15
Orcines,63263,63870,Maison,91.0,285500.0,3137.36,2024-01-05
Aydat,63026,63970,Maison,112.0,289000.0,2580.36,2024-01-05
Beaumont,63032,63110,Maison,91.0,142500.0,1565.93,2024-01-09
Plauzat,63282,63730,Maison,134.0,208000.0,1552.24,2024-01-10
Romagnat,63307,63540,Maison,70.0,206150.0,2945.0,2024-01-12
Clermont-Ferrand,63113,63000,Appartement,53.0,96500.0,1820.75,2024-01-09
Vertaizon,63453,63910,Maison,70.0,191600.0,2737.14,2024-01-10
Vertaizon,63453,63910,Maison,96.0,191600.0,1995.83,2024-01-10
Vertaizon,63453,63910,Maison,48.0,191600.0,3991.67,2024-01-10
Vertaizon,63453,63910,Maison,96.0,191600.0,1995.83,2024-01-10
Vertaizon,63453,63910,Appartement,48.0,191600.0,3991.67,2024-01-10
Vertaizon,63453,63910,Appartement,54.0,191600.0,3548.15,2024-01-10
Vertaizon,63453,63910,Appartement,54.0,191600.0,3548.15,2024-01-10
Vertaizon,63453,63910,Appartement,48.0,191600.0,3991.67,2024-01-10
Saint-Germain-Lembron,63352,63340,Maison,55.0,50000.0,909.09,2024-01-04
