commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Bouguenais,44020,44340,Maison,59.0,2.0,165000.0,2796.61,2023-09-27
Bouguenais,44020,44340,Maison,60.0,3.0,230000.0,3833.33,2023-02-23
Bouguenais,44020,44340,Maison,60.0,3.0,190000.0,3166.67,2023-07-24
Bouguenais,44020,44340,Maison,60.0,4.0,270000.0,4500.0,2023-08-29
Bouguenais,44020,44340,Maison,62.0,3.0,239000.0,3854.84,2023-05-09
Bouguenais,44020,44340,Maison,63.0,3.0,88550.0,1405.56,2023-04-21
Bouguenais,44020,44340,Maison,63.0,4.0,210000.0,3333.33,2023-07-17
Bouguenais,44020,44340,Maison,63.0,4.0,210000.0,3333.33,2023-07-17
Bouguenais,44020,44340,Maison,63.0,4.0,210000.0,3333.33,2023-07-17
Bouguenais,44020,44340,Maison,64.0,4.0,210000.0,3281.25,2023-06-30
Bouguenais,44020,44340,Maison,65.0,1.0,260000.0,4000.0,2023-02-27
Bouguenais,44020,44340,Maison,65.0,3.0,282000.0,4338.46,2023-07-17
Bouguenais,44020,44340,Maison,65.0,3.0,207773.0,3196.51,2023-07-28
Bouguenais,44020,44340,Maison,65.0,3.0,180000.0,2769.23,2023-08-23
Bouguenais,44020,44340,Maison,66.0,4.0,270000.0,4090.91,2023-07-28
Bouguenais,44020,44340,Maison,66.0,3.0,265000.0,4015.15,2023-08-31
Bouguenais,44020,44340,Maison,68.0,3.0,254400.0,3741.18,2023-05-22
Bouguenais,44020,44340,Maison,68.0,4.0,47500.0,698.53,2023-05-16
Bouguenais,44020,44340,Maison,69.0,4.0,130000.0,1884.06,2023-09-26
Bouguenais,44020,44340,Maison,70.0,3.0,247000.0,3528.57,2023-07-06
Bouguenais,44020,44340,Maison,70.0,3.0,279215.0,3988.79,2023-12-07
Bouguenais,44020,44340,Maison,71.0,1.0,270000.0,3802.82,2023-09-05
Bouguenais,44020,44340,Maison,72.0,3.0,244000.0,3388.89,2023-06-28
Bouguenais,44020,44340,Maison,72.0,4.0,190000.0,2638.89,2023-08-01
Bouguenais,44020,44340,Maison,73.0,3.0,235000.0,3219.18,2023-07-31
Bouguenais,44020,44340,Maison,73.0,4.0,176900.0,2423.29,2023-07-24
Bouguenais,44020,44340,Maison,73.0,4.0,260000.0,3561.64,2023-12-04
Bouguenais,44020,44340,Maison,74.0,4.0,265000.0,3581.08,2023-02-16
Bouguenais,44020,44340,Maison,74.0,4.0,265000.0,3581.08,2023-02-16
Bouguenais,44020,44340,Maison,74.0,4.0,267271.0,3611.77,2023-02-20
Bouguenais,44020,44340,Maison,74.0,4.0,290000.0,3918.92,2023-03-23
Bouguenais,44020,44340,Maison,74.0,4.0,280000.0,3783.78,2023-04-03
Bouguenais,44020,44340,Maison,74.0,4.0,253815.0,3429.93,2023-09-19
Bouguenais,44020,44340,Maison,74.0,4.0,241000.0,3256.76,2023-09-28
Bouguenais,44020,44340,Maison,75.0,3.0,273000.0,3640.0,2023-02-21
Bouguenais,44020,44340,Maison,75.0,4.0,145000.0,1933.33,2023-02-25
Bouguenais,44020,44340,Maison,76.0,4.0,240000.0,3157.89,2023-08-10
Bouguenais,44020,44340,Maison,77.0,5.0,251200.0,3262.34,2023-09-21
Bouguenais,44020,44340,Maison,77.0,4.0,215000.0,2792.21,2023-11-14
Bouguenais,44020,44340,Maison,78.0,5.0,126000.0,1615.38,2023-07-11
