commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Beaupréau-en-Mauges,49023,49510,Maison,107.0,259000.0,2420.56,2024-01-04
Angers,49007,49100,Appartement,18.0,90000.0,5000.0,2024-01-04
Cholet,49099,49300,Appartement,48.0,50000.0,1041.67,2024-01-05
Trélazé,49353,49800,Maison,171.0,460000.0,2690.06,2024-01-05
Cholet,49099,49300,Maison,105.0,200000.0,1904.76,2024-01-02
Segré-en-Anjou Bleu,49331,49500,Maison,105.0,190000.0,1809.52,2024-01-03
Mozé-sur-Louet,49222,49610,Maison,157.0,380000.0,2420.38,2024-01-05
Saint-Lambert-la-Potherie,49294,49070,Maison,140.0,350000.0,2500.0,2024-01-03
Saint-Lambert-la-Potherie,49294,49070,Maison,140.0,350000.0,2500.0,2024-01-03
Rives-du-Loir-en-Anjou,49377,49140,Maison,50.0,150000.0,3000.0,2024-01-04
Beaupréau-en-Mauges,49023,49450,Maison,104.0,165000.0,1586.54,2024-01-09
Trélazé,49353,49800,Maison,84.0,189000.0,2250.0,2024-01-04
Beaufort-en-Anjou,49021,49250,Maison,89.0,160000.0,1797.75,2024-01-05
Beaufort-en-Anjou,49021,49250,Maison,89.0,160000.0,1797.75,2024-01-05
Rives-du-Loir-en-Anjou,49377,49140,Maison,106.0,117500.0,1108.49,2024-01-04
Angers,49007,49100,Maison,90.0,330000.0,3666.67,2024-01-05
Longuenée-en-Anjou,49200,49770,Maison,99.0,280000.0,2828.28,2024-01-05
Longuenée-en-Anjou,49200,49770,Appartement,20.0,280000.0,14000.0,2024-01-05
Beaucouzé,49020,49070,Maison,126.0,395000.0,3134.92,2024-01-03
Chalonnes-sur-Loire,49063,49290,Maison,90.0,162000.0,1800.0,2024-01-04
Gennes-Val-de-Loire,49261,49350,Maison,98.0,205000.0,2091.84,2024-01-09
Gennes-Val-de-Loire,49261,49350,Maison,120.0,130000.0,1083.33,2024-01-10
La Possonnière,49247,49170,Maison,84.0,170000.0,2023.81,2024-01-05
Beaupréau-en-Mauges,49023,49600,Maison,100.0,275000.0,2750.0,2024-01-04
Beaupréau-en-Mauges,49023,49600,Maison,100.0,275000.0,2750.0,2024-01-04
Angers,49007,49000,Appartement,61.0,240000.0,3934.43,2024-01-05
Angers,49007,49100,Appartement,76.0,280000.0,3684.21,2024-01-05
Angers,49007,49000,Appartement,60.0,185000.0,3083.33,2024-01-09
Jarzé Villages,49163,49140,Maison,90.0,120000.0,1333.33,2024-01-05
Baugé-en-Anjou,49018,49150,Maison,85.0,164000.0,1929.41,2024-01-04
Baugé-en-Anjou,49018,49150,Maison,85.0,164000.0,1929.41,2024-01-04
Baugé-en-Anjou,49018,49150,Maison,85.0,164000.0,1929.41,2024-01-04
Erdre-en-Anjou,49367,49220,Maison,112.0,205500.0,1834.82,2024-01-05
Cholet,49099,49300,Maison,95.0,197000.0,2073.68,2024-01-04
