commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Dijon,21231,21000,Appartement,54.0,105000.0,1944.44,2024-01-04
Collonges-lès-Premières,21183,21110,Maison,127.0,262000.0,2062.99,2024-01-03
Collonges-lès-Premières,21183,21110,Maison,127.0,262000.0,2062.99,2024-01-03
Dijon,21231,21000,Appartement,52.0,131000.0,2519.23,2024-01-10
Auxonne,21038,21130,Appartement,34.0,54000.0,1588.24,2024-01-09
Talant,21617,21240,Appartement,80.0,157500.0,1968.75,2024-01-02
Talant,21617,21240,Appartement,95.0,214100.0,2253.68,2024-01-12
Auxonne,21038,21130,Appartement,33.0,40000.0,1212.12,2024-01-10
Dijon,21231,21000,Appartement,22.0,69000.0,3136.36,2024-01-12
Thorey-en-Plaine,21632,21110,Maison,161.0,255000.0,1583.85,2024-01-16
Étevaux,21256,21270,Maison,163.0,285000.0,1748.47,2024-01-02
Précy-sous-Thil,21505,21390,Maison,100.0,98000.0,980.0,2024-01-11
Dijon,21231,21000,Appartement,103.0,297000.0,2883.5,2024-01-03
Seurre,21607,21250,Appartement,82.0,102000.0,1243.9,2024-01-15
Dijon,21231,21000,Appartement,35.0,73500.0,2100.0,2024-01-09
Dijon,21231,21000,Appartement,36.0,87000.0,2416.67,2024-01-03
Créancey,21210,21320,Maison,30.0,30000.0,1000.0,2024-01-15
Beaune,21054,21200,Appartement,65.0,116500.0,1792.31,2024-01-03
Semur-en-Auxois,21603,21140,Appartement,60.0,80000.0,1333.33,2024-01-11
Semur-en-Auxois,21603,21140,Appartement,67.0,80000.0,1194.03,2024-01-11
Dijon,21231,21000,Appartement,46.0,75000.0,1630.43,2024-01-09
Beaune,21054,21200,Appartement,62.0,157000.0,2532.26,2024-01-11
Beaune,21054,21200,Maison,105.0,370440.0,3528.0,2024-01-16
Saint-Apollinaire,21540,21850,Appartement,54.0,139300.0,2579.63,2024-01-12
Genay,21291,21140,Maison,99.0,167295.0,1689.85,2024-01-11
Dijon,21231,21000,Appartement,12.0,28000.0,2333.33,2024-01-11
Talant,21617,21240,Appartement,26.0,87500.0,3365.38,2024-01-15
Is-sur-Tille,21317,21120,Maison,113.0,215000.0,1902.65,2024-01-08
Genay,21291,21140,Maison,77.0,142600.0,1851.95,2024-01-12
Tarsul,21620,21120,Maison,89.0,219500.0,2466.29,2024-01-04
Tarsul,21620,21120,Maison,89.0,219500.0,2466.29,2024-01-04
Dijon,21231,21000,Appartement,21.0,82000.0,3904.76,2024-01-03
Champagne-sur-Vingeanne,21135,21310,Maison,213.0,217000.0,1018.78,2024-01-10
Champagne-sur-Vingeanne,21135,21310,Maison,213.0,217000.0,1018.78,2024-01-10
Corgoloin,21194,21700,Maison,75.0,250000.0,3333.33,2024-01-09
Val-Mont,21327,21340,Maison,85.0,77000.0,905.88,2024-01-08
Beaune,21054,21200,Appartement,76.0,180700.0,2377.63,2024-01-11
Dijon,21231,21000,Appartement,24.0,85000.0,3541.67,2024-01-10
Saint-Apollinaire,21540,21850,Maison,67.0,220000.0,3283.58,2024-01-02
Genlis,21292,21110,Maison,106.0,230000.0,2169.81,2024-01-15
Beaune,21054,21200,Appartement,87.0,197550.0,2270.69,2024-01-11
Beaune,21054,21200,Maison,68.0,227350.0,3343.38,2024-01-12
Marigny-lès-Reullée,21387,21200,Maison,120.0,243000.0,2025.0,2024-01-12
Fontaine-lès-Dijon,21278,21121,Maison,67.0,248000.0,3701.49,2024-01-18
Flavigny-sur-Ozerain,21271,21150,Maison,171.0,242500.0,1418.13,2024-01-12
Chevigny-Saint-Sauveur,21171,21800,Appartement,73.0,105000.0,1438.36,2024-01-16
Bonnencontre,21089,21250,Maison,109.0,220000.0,2018.35,2024-01-18
Montagny-lès-Beaune,21423,21200,Maison,80.0,180000.0,2250.0,2024-01-12
Dijon,21231,21000,Appartement,34.0,73000.0,2147.06,2024-01-17
Dijon,21231,21000,Appartement,96.0,320000.0,3333.33,2024-01-11
Dijon,21231,21000,Appartement,30.0,320000.0,10666.67,2024-01-11
Dijon,21231,21000,Appartement,30.0,75000.0,2500.0,2024-01-12
Dijon,21231,21000,Appartement,77.0,138500.0,1798.7,2024-01-17
Beaune,21054,21200,Appartement,45.0,600000.0,13333.33,2024-01-12
Dijon,21231,21000,Appartement,66.0,147000.0,2227.27,2024-01-15
Dijon,21231,21000,Appartement,78.0,218000.0,2794.87,2024-01-15
Sacquenay,21536,21260,Maison,94.0,87200.0,927.66,2024-01-17
Dijon,21231,21000,Appartement,19.0,40000.0,2105.26,2024-01-05
Dijon,21231,21000,Appartement,68.0,110000.0,1617.65,2024-01-11
Gevrey-Chambertin,21295,21220,Maison,81.0,204500.0,2524.69,2024-01-11
Chevigny-Saint-Sauveur,21171,21800,Appartement,82.0,128000.0,1560.98,2024-01-12
Longvic,21355,21600,Appartement,57.0,65000.0,1140.35,2024-01-10
Dijon,21231,21000,Appartement,14.0,600000.0,42857.14,2024-01-03
Dijon,21231,21000,Appartement,20.0,600000.0,30000.0,2024-01-03
Dijon,21231,21000,Appartement,18.0,600000.0,33333.33,2024-01-03
Dijon,21231,21000,Appartement,14.0,600000.0,42857.14,2024-01-03
Dijon,21231,21000,Appartement,15.0,600000.0,40000.0,2024-01-03
Dijon,21231,21000,Appartement,64.0,148500.0,2320.31,2024-01-05
Fontaine-lès-Dijon,21278,21121,Appartement,63.0,251000.0,3984.13,2024-01-02
Pontailler-sur-Saône,21496,21270,Maison,68.0,130000.0,1911.76,2024-01-17
Lux,21361,21120,Maison,88.0,50000.0,568.18,2024-01-12
Dijon,21231,21000,Appartement,45.0,160500.0,3566.67,2024-01-19
Gevrey-Chambertin,21295,21220,Maison,92.0,223950.0,2434.24,2024-01-12
Semur-en-Auxois,21603,21140,Maison,91.0,52500.0,576.92,2024-01-10
Is-sur-Tille,21317,21120,Maison,80.0,143700.0,1796.25,2024-01-18
Gevrey-Chambertin,21295,21220,Maison,66.0,190000.0,2878.79,2024-01-15
Gevrey-Chambertin,21295,21220,Maison,64.0,173850.0,2716.41,2024-01-08
Sincey-lès-Rouvray,21608,21530,Maison,40.0,23000.0,575.0,2024-01-16
Larrey,21343,21330,Maison,27.0,11000.0,407.41,2024-01-17
Larrey,21343,21330,Maison,27.0,11000.0,407.41,2024-01-17
Dijon,21231,21000,Appartement,50.0,179000.0,3580.0,2024-01-05
Longecourt-en-Plaine,21353,21110,Maison,120.0,303800.0,2531.67,2024-01-04
Dijon,21231,21000,Appartement,41.0,115297.88,2812.14,2024-01-05
Talant,21617,21240,Appartement,48.0,162500.0,3385.42,2024-01-02
Selongey,21599,21260,Maison,124.0,199750.0,1610.89,2024-01-02
Selongey,21599,21260,Maison,124.0,199750.0,1610.89,2024-01-02
Dijon,21231,21000,Appartement,39.0,130000.0,3333.33,2024-01-12
Précy-sous-Thil,21505,21390,Maison,121.0,180000.0,1487.6,2024-01-12
Dijon,21231,21000,Appartement,70.0,176000.0,2514.29,2024-01-11
Belleneuve,21060,21310,Maison,48.0,152700.0,3181.25,2024-01-08
Venarey-les-Laumes,21663,21150,Maison,93.0,120000.0,1290.32,2024-01-12
Fontaine-Française,21277,21610,Maison,127.0,210000.0,1653.54,2024-01-08
Saint-Apollinaire,21540,21850,Appartement,51.0,190000.0,3725.49,2024-01-04
Dijon,21231,21000,Appartement,60.0,115200.0,1920.0,2024-01-19
Gergueil,21293,21410,Maison,47.0,110000.0,2340.43,2024-01-22
