commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Gournay-en-Bray,76312,76220,Maison,154.0,220000.0,1428.57,2024-01-05
Dieppe,76217,76200,Maison,70.0,90500.0,1292.86,2024-01-05
Bonsecours,76103,76240,Appartement,78.0,152400.0,1953.85,2024-01-04
Rouen,76540,76000,Appartement,21.0,69579.0,3313.29,2024-01-02
Notre-Dame-de-Bondeville,76474,76960,Maison,78.0,210000.0,2692.31,2024-01-05
Rouen,76540,76000,Appartement,82.0,67500.0,823.17,2024-01-03
Bracquetuit,76138,76850,Maison,119.0,294500.0,2474.79,2024-01-03
Bracquetuit,76138,76850,Maison,119.0,294500.0,2474.79,2024-01-03
Bully,76147,76270,Maison,42.0,85000.0,2023.81,2024-01-05
Bully,76147,76270,Maison,42.0,85000.0,2023.81,2024-01-05
Caudebec-lès-Elbeuf,76165,76320,Appartement,99.0,100000.0,1010.1,2024-01-04
Sotteville-lès-Rouen,76681,76300,Maison,62.0,163000.0,2629.03,2024-01-05
Malaunay,76402,76770,Maison,66.0,120000.0,1818.18,2024-01-08
Bacqueville-en-Caux,76051,76730,Maison,81.0,172000.0,2123.46,2024-01-05
Houppeville,76367,76770,Maison,93.0,270000.0,2903.23,2024-01-08
Saint-Étienne-du-Rouvray,76575,76800,Appartement,65.0,35000.0,538.46,2024-01-04
Canteleu,76157,76380,Maison,225.0,300000.0,1333.33,2024-01-03
Canteleu,76157,76380,Maison,225.0,300000.0,1333.33,2024-01-03
Sotteville-lès-Rouen,76681,76300,Maison,57.0,147000.0,2578.95,2024-01-05
Elbeuf,76231,76500,Appartement,56.0,79000.0,1410.71,2024-01-05
Caudebec-lès-Elbeuf,76165,76320,Appartement,83.0,103950.0,1252.41,2024-01-05
Saint-Pierre-lès-Elbeuf,76640,76320,Maison,81.0,190000.0,2345.68,2024-01-05
Saint-Martin-Osmonville,76621,76680,Maison,77.0,230000.0,2987.01,2024-01-08
Fontaine-en-Bray,76269,76440,Maison,111.0,173550.0,1563.51,2024-01-08
Fontaine-en-Bray,76269,76440,Maison,111.0,173550.0,1563.51,2024-01-08
Dieppe,76217,76370,Maison,84.0,166100.0,1977.38,2024-01-10
