commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Seyssinet-Pariset,38485,38170,Appartement,56.0,128240.0,2290.0,2024-01-05
Saint-Nizier-du-Moucherotte,38433,38250,Maison,94.0,490000.0,5212.77,2024-01-04
Saint-Nizier-du-Moucherotte,38433,38250,Maison,94.0,490000.0,5212.77,2024-01-04
Grenoble,38185,38100,Appartement,39.0,97900.0,2510.26,2024-01-06
Échirolles,38151,38130,Appartement,82.0,151700.0,1850.0,2024-01-03
Grenoble,38185,38100,Appartement,76.0,125800.0,1655.26,2024-01-03
Grenoble,38185,38100,Appartement,63.0,130000.0,2063.49,2024-01-04
Grenoble,38185,38000,Appartement,60.0,195000.0,3250.0,2024-01-08
Saint-Pierre-de-Chartreuse,38442,38380,Maison,104.0,220000.0,2115.38,2024-01-05
Meylan,38229,38240,Appartement,92.0,292000.0,3173.91,2024-01-04
Sassenage,38474,38360,Appartement,49.0,176000.0,3591.84,2024-01-05
Grenoble,38185,38100,Appartement,86.0,204800.0,2381.4,2024-01-04
Biviers,38045,38330,Maison,125.0,204300.0,1634.4,2024-01-05
Fontaine,38169,38600,Maison,101.0,319500.0,3163.37,2024-01-02
Biviers,38045,38330,Maison,125.0,70000.0,560.0,2024-01-05
Rives,38337,38140,Appartement,51.0,184000.0,3607.84,2024-01-08
Chamrousse,38567,38410,Appartement,24.0,87349.0,3639.54,2024-01-05
Saint-Martin-d'Hères,38421,38400,Appartement,63.0,174200.0,2765.08,2024-01-05
Fontaine,38169,38600,Appartement,82.0,130000.0,1585.37,2024-01-08
Seyssinet-Pariset,38485,38170,Appartement,68.0,183000.0,2691.18,2024-01-09
Huez,38191,38750,Appartement,28.0,381000.0,13607.14,2024-01-08
Montbonnot-Saint-Martin,38249,38330,Appartement,53.0,821720.0,15504.15,2024-01-03
Montbonnot-Saint-Martin,38249,38330,Appartement,95.0,821720.0,8649.68,2024-01-03
Saint-Siméon-de-Bressieux,38457,38870,Maison,79.0,110000.0,1392.41,2024-01-09
Huez,38191,38750,Appartement,71.0,720000.0,10140.85,2024-01-04
Saint-Martin-d'Hères,38421,38400,Appartement,66.0,229185.0,3472.5,2024-01-12
Voreppe,38565,38340,Appartement,61.0,117000.0,1918.03,2024-01-03
Seyssins,38486,38180,Maison,120.0,140000.0,1166.67,2024-01-02
Lans-en-Vercors,38205,38250,Appartement,23.0,84850.0,3689.13,2024-01-10
Grenoble,38185,38100,Appartement,68.0,133000.0,1955.88,2024-01-05
Huez,38191,38750,Appartement,70.0,425000.0,6071.43,2024-01-09
Grenoble,38185,38100,Appartement,50.0,169000.0,3380.0,2024-01-09
Saint-Laurent-du-Pont,38412,38380,Maison,142.0,356550.0,2510.92,2024-01-11
Saint-Laurent-du-Pont,38412,38380,Maison,142.0,356550.0,2510.92,2024-01-11
Charnècles,38084,38140,Maison,95.0,227600.0,2395.79,2024-01-15
Grenoble,38185,38000,Appartement,94.0,326000.0,3468.09,2024-01-09
Eybens,38158,38320,Appartement,107.0,345000.0,3224.3,2024-01-11
Moirans,38239,38430,Maison,88.0,245000.0,2784.09,2024-01-08
Grenoble,38185,38000,Appartement,67.0,173000.0,2582.09,2024-01-05
Saint-Martin-d'Hères,38421,38400,Appartement,50.0,272350.0,5447.0,2024-01-10
Saint-Martin-d'Hères,38421,38400,Appartement,45.0,272350.0,6052.22,2024-01-10
Grenoble,38185,38100,Appartement,85.0,96800.0,1138.82,2024-01-10
Grenoble,38185,38100,Appartement,87.0,420000.0,4827.59,2024-01-08
Voiron,38563,38500,Appartement,46.0,109800.0,2386.96,2024-01-09
Froges,38175,38190,Maison,92.0,343065.0,3728.97,2024-01-09
Froges,38175,38190,Maison,92.0,343065.0,3728.97,2024-01-09
Froges,38175,38190,Maison,92.0,343065.0,3728.97,2024-01-09
Froges,38175,38190,Maison,92.0,343065.0,3728.97,2024-01-09
Villard-Bonnot,38547,38190,Appartement,67.0,175000.0,2611.94,2024-01-09
Grenoble,38185,38100,Appartement,53.0,125250.0,2363.21,2024-01-03
Fontaine,38169,38600,Maison,162.0,441210.0,2723.52,2024-01-10
Grenoble,38185,38100,Appartement,98.0,121625.0,1241.07,2024-01-10
Grenoble,38185,38000,Appartement,42.0,151740.0,3612.86,2024-01-08
Sassenage,38474,38360,Appartement,65.0,238500.0,3669.23,2024-01-05
Crêts en Belledonne,38439,38830,Maison,81.0,249500.0,3080.25,2024-01-04
Tullins,38517,38210,Maison,90.0,278350.0,3092.78,2024-01-12
Moirans,38239,38430,Maison,111.0,345000.0,3108.11,2024-01-05
