commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Nîmes,30189,30900,Maison,83.0,100000.0,1204.82,2024-01-05
Nîmes,30189,30900,Maison,83.0,100000.0,1204.82,2024-01-05
Le Grau-du-Roi,30133,30240,Appartement,26.0,105500.0,4057.69,2024-01-04
Salindres,30305,30340,Maison,90.0,230000.0,2555.56,2024-01-03
Nîmes,30189,30000,Maison,65.0,257840.0,3966.77,2024-01-08
Nîmes,30189,30900,Maison,133.0,350000.0,2631.58,2024-01-08
Nîmes,30189,30000,Maison,122.0,422000.0,3459.02,2024-01-02
Nîmes,30189,30000,Maison,122.0,422000.0,3459.02,2024-01-02
Nîmes,30189,30000,Appartement,65.0,40000.0,615.38,2024-01-08
Meynes,30166,30840,Appartement,42.0,55900.0,1330.95,2024-01-05
Saint-Pons-la-Calm,30292,30330,Maison,106.0,64175.96,605.43,2024-01-09
Pont-Saint-Esprit,30202,30130,Maison,112.0,75000.0,669.64,2024-01-09
Bagnols-sur-Cèze,30028,30200,Appartement,66.0,60000.0,909.09,2024-01-04
Redessan,30211,30129,Maison,88.0,265000.0,3011.36,2024-01-02
Saint-Paul-les-Fonts,30355,30330,Maison,86.0,522665.0,6077.5,2024-01-04
Nîmes,30189,30900,Appartement,64.0,25000.0,390.62,2024-01-09
Nîmes,30189,30900,Maison,82.0,190000.0,2317.07,2024-01-02
Saint-Césaire-de-Gauzignan,30240,30360,Maison,68.0,430000.0,6323.53,2024-01-05
Saint-Césaire-de-Gauzignan,30240,30360,Maison,68.0,430000.0,6323.53,2024-01-05
Saint-Césaire-de-Gauzignan,30240,30360,Maison,68.0,430000.0,6323.53,2024-01-05
Le Grau-du-Roi,30133,30240,Appartement,18.0,82440.0,4580.0,2024-01-04
Nîmes,30189,30900,Appartement,56.0,105000.0,1875.0,2024-01-04
Fournès,30116,30210,Maison,92.0,230000.0,2500.0,2024-01-02
Jonquières-Saint-Vincent,30135,30300,Maison,147.0,357985.0,2435.27,2024-01-05
Saint-Christol-de-Rodières,30242,30760,Maison,160.0,370500.0,2315.62,2024-01-04
Saint-Gilles,30258,30800,Maison,23.0,70000.0,3043.48,2024-01-05
Nîmes,30189,30900,Appartement,36.0,112000.0,3111.11,2024-01-04
Les Angles,30011,30133,Appartement,122.0,430500.0,3528.69,2024-01-10
Villeneuve-lès-Avignon,30351,30400,Maison,70.0,325000.0,4642.86,2024-01-02
Monoblet,30172,30170,Maison,80.0,40000.0,500.0,2024-01-04
Moulézan,30183,30350,Maison,55.0,56600.0,1029.09,2024-01-11
Nîmes,30189,30900,Maison,73.0,331900.0,4546.58,2024-01-11
Nîmes,30189,30900,Maison,89.0,229000.0,2573.03,2024-01-12
Nîmes,30189,30900,Maison,154.0,399245.0,2592.5,2024-01-11
Nîmes,30189,30900,Maison,154.0,399245.0,2592.5,2024-01-11
Saint-Julien-les-Rosiers,30274,30340,Maison,36.0,149000.0,4138.89,2024-01-10
Saint-Julien-les-Rosiers,30274,30340,Maison,36.0,149000.0,4138.89,2024-01-10
Le Grau-du-Roi,30133,30240,Appartement,27.0,133000.0,4925.93,2024-01-05
Carsan,30070,30130,Maison,90.0,300000.0,3333.33,2024-01-05
Carsan,30070,30130,Maison,90.0,300000.0,3333.33,2024-01-05
La Grand-Combe,30132,30110,Appartement,68.0,154000.0,2264.71,2024-01-09
La Grand-Combe,30132,30110,Appartement,68.0,154000.0,2264.71,2024-01-09
Nîmes,30189,30000,Appartement,38.0,330000.0,8684.21,2024-01-12
Nîmes,30189,30000,Appartement,70.0,330000.0,4714.29,2024-01-12
Rochefort-du-Gard,30217,30650,Maison,83.0,240000.0,2891.57,2024-01-11
Chusclan,30081,30200,Maison,105.0,331500.0,3157.14,2024-01-09
Villeneuve-lès-Avignon,30351,30400,Appartement,62.0,202300.0,3262.9,2024-01-04
Nîmes,30189,30900,Maison,129.0,463140.0,3590.23,2024-01-12
Saint-Mamert-du-Gard,30281,30730,Maison,50.0,150200.0,3004.0,2024-01-09
Les Angles,30011,30133,Appartement,41.0,105000.0,2560.98,2024-01-03
Villeneuve-lès-Avignon,30351,30400,Maison,154.0,708000.0,4597.4,2024-01-05
Sauveterre,30312,30150,Maison,207.0,690770.0,3337.05,2024-01-11
Sauveterre,30312,30150,Maison,207.0,690770.0,3337.05,2024-01-11
La Vernarède,30345,30530,Maison,66.0,99000.0,1500.0,2024-01-10
Génolhac,30130,30450,Maison,66.0,75050.0,1137.12,2024-01-12
Génolhac,30130,30450,Appartement,51.0,52400.0,1027.45,2024-01-09
Chamborigaud,30080,30530,Maison,65.0,98760.0,1519.38,2024-01-09
Sommières,30321,30250,Maison,187.0,380000.0,2032.09,2024-01-04
Aigues-Vives,30004,30670,Maison,87.0,321220.0,3692.18,2024-01-05
Le Grau-du-Roi,30133,30240,Appartement,23.0,111828.0,4862.09,2024-01-09
Gallargues-le-Montueux,30123,30660,Maison,81.0,301000.0,3716.05,2024-01-03
Barjac,30029,30430,Maison,79.0,110000.0,1392.41,2024-01-11
Val-d'Aigoual,30339,30570,Maison,19.0,57000.0,3000.0,2024-01-09
Val-d'Aigoual,30339,30570,Maison,49.0,57000.0,1163.27,2024-01-09
Nîmes,30189,30900,Appartement,60.0,98000.0,1633.33,2024-01-05
Sommières,30321,30250,Maison,80.0,215000.0,2687.5,2024-01-15
Uzès,30334,30700,Maison,12.0,15000.0,1250.0,2024-01-04
Rochefort-du-Gard,30217,30650,Maison,124.0,541450.0,4366.53,2024-01-02
Manduel,30155,30129,Appartement,55.0,156000.0,2836.36,2024-01-12
Nîmes,30189,30900,Maison,56.0,224000.0,4000.0,2024-01-15
Nîmes,30189,30000,Appartement,86.0,220000.0,2558.14,2024-01-04
