commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Fagnières,51242,51510,Appartement,67.0,175000.0,2611.94,2024-01-02
Brugny-Vaudancourt,51093,51530,Maison,100.0,187000.0,1870.0,2024-01-08
Cramant,51196,51530,Maison,113.0,220000.0,1946.9,2024-01-08
Aÿ-Champagne,51030,51150,Maison,54.0,84000.0,1555.56,2024-01-09
Reims,51454,51100,Appartement,57.0,165500.0,2903.51,2024-01-09
Reims,51454,51100,Maison,90.0,150000.0,1666.67,2024-01-08
Sainte-Marie-du-Lac-Nuisement,51277,51290,Maison,149.0,302000.0,2026.85,2024-01-02
Sainte-Marie-du-Lac-Nuisement,51277,51290,Maison,149.0,302000.0,2026.85,2024-01-02
Reims,51454,51100,Appartement,96.0,258500.0,2692.71,2024-01-09
Reims,51454,51100,Appartement,62.0,112000.0,1806.45,2024-01-05
Hautvillers,51287,51160,Maison,52.0,72000.0,1384.62,2024-01-09
Avize,51029,51190,Maison,93.0,205000.0,2204.3,2024-01-10
Saint-Memmie,51506,51470,Appartement,67.0,119500.0,1783.58,2024-01-11
Aÿ-Champagne,51030,51160,Maison,99.0,150000.0,1515.15,2024-01-10
Reims,51454,51100,Maison,32.0,140650.0,4395.31,2024-01-04
Reims,51454,51100,Maison,68.0,140650.0,2068.38,2024-01-04
Reims,51454,51100,Maison,95.0,170000.0,1789.47,2024-01-09
Reims,51454,51100,Appartement,57.0,124000.0,2175.44,2024-01-05
Saint-Brice-Courcelles,51474,51370,Maison,128.0,310000.0,2421.88,2024-01-09
Coizard-Joches,51157,51270,Maison,81.0,70000.0,864.2,2024-01-08
Bétheny,51055,51450,Maison,113.0,259000.0,2292.04,2024-01-11
Reims,51454,51100,Appartement,19.0,66000.0,3473.68,2024-01-05
Reims,51454,51100,Appartement,49.0,356000.0,7265.31,2024-01-15
Reims,51454,51100,Appartement,51.0,356000.0,6980.39,2024-01-15
Bétheny,51055,51450,Maison,133.0,283000.0,2127.82,2024-01-11
