commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Dardilly,69072,69570,Maison,144.0,820000.0,5694.44,2024-01-10
Lyon 4e Arrondissement,69384,69004,Appartement,20.0,130000.0,6500.0,2024-01-04
Montanay,69284,69250,Appartement,36.0,115000.0,3194.44,2024-01-15
Lyon 5e Arrondissement,69385,69005,Appartement,75.0,228110.0,3041.47,2024-01-12
Saint-Genis-Laval,69204,69230,Appartement,68.0,147000.0,2161.76,2024-01-04
Sainte-Foy-lès-Lyon,69202,69110,Maison,160.0,1375300.0,8595.62,2024-01-08
Sainte-Foy-lès-Lyon,69202,69110,Maison,160.0,1375300.0,8595.62,2024-01-08
Beauvallon,69179,69700,Maison,89.0,370900.0,4167.42,2024-01-03
Lyon 4e Arrondissement,69384,69004,Appartement,54.0,291500.0,5398.15,2024-01-15
Millery,69133,69390,Appartement,82.0,380000.0,4634.15,2024-01-15
Saint-Germain-Nuelles,69208,69210,Maison,155.0,300000.0,1935.48,2024-01-05
Saint-Romain-en-Gal,69235,69560,Appartement,68.0,130000.0,1911.76,2024-01-10
Lyon 9e Arrondissement,69389,69009,Appartement,101.0,250000.0,2475.25,2024-01-16
Rillieux-la-Pape,69286,69140,Appartement,66.0,272000.0,4121.21,2024-01-09
Quincieux,69163,69650,Appartement,85.0,295000.0,3470.59,2024-01-11
Lyon 4e Arrondissement,69384,69004,Appartement,71.0,309000.0,4352.11,2024-01-17
Rillieux-la-Pape,69286,69140,Appartement,66.0,294000.0,4454.55,2024-01-09
Chabanière,69228,69440,Maison,83.0,332900.0,4010.84,2024-01-08
Dardilly,69072,69570,Appartement,77.0,351630.0,4566.62,2024-01-15
Chambost-Longessaigne,69038,69770,Maison,70.0,49000.0,700.0,2024-01-03
Soucieu-en-Jarrest,69176,69510,Appartement,35.0,96500.0,2757.14,2024-01-10
Saint-Genis-Laval,69204,69230,Maison,87.0,389200.0,4473.56,2024-01-16
Vindry-sur-Turdine,69157,69490,Maison,157.0,530900.0,3381.53,2024-01-12
Vindry-sur-Turdine,69157,69490,Maison,157.0,530900.0,3381.53,2024-01-12
Dardilly,69072,69570,Appartement,64.0,260000.0,4062.5,2024-01-04
Lyon 4e Arrondissement,69384,69004,Appartement,30.0,165300.0,5510.0,2024-01-02
Rillieux-la-Pape,69286,69140,Appartement,75.0,117000.0,1560.0,2024-01-08
Rillieux-la-Pape,69286,69140,Appartement,52.0,117000.0,2250.0,2024-01-08
Lyon 5e Arrondissement,69385,69005,Appartement,98.0,330000.0,3367.35,2024-01-10
Lyon 1er Arrondissement,69381,69001,Appartement,40.0,212000.0,5300.0,2024-01-04
Lyon 5e Arrondissement,69385,69005,Appartement,70.0,410000.0,5857.14,2024-01-11
Givors,69091,69700,Appartement,63.0,160800.0,2552.38,2024-01-10
Saint-Genis-Laval,69204,69230,Maison,104.0,440000.0,4230.77,2024-01-04
Champagne-au-Mont-d'Or,69040,69410,Appartement,75.0,270000.0,3600.0,2024-01-12
Savigny,69175,69210,Maison,93.0,137500.0,1478.49,2024-01-03
Lyon 5e Arrondissement,69385,69005,Appartement,59.0,182870.0,3099.49,2024-01-11
Caluire-et-Cuire,69034,69300,Appartement,50.0,190000.0,3800.0,2024-01-04
Francheville,69089,69340,Appartement,90.0,267500.0,2972.22,2024-01-12
Orliénas,69148,69530,Maison,128.0,430000.0,3359.38,2024-01-17
Orliénas,69148,69530,Maison,128.0,430000.0,3359.38,2024-01-17
Marcy-l'Étoile,69127,69280,Maison,126.0,395000.0,3134.92,2024-01-11
Marcy-l'Étoile,69127,69280,Maison,126.0,395000.0,3134.92,2024-01-11
Belleville-en-Beaujolais,69019,69220,Appartement,60.0,186000.0,3100.0,2024-01-11
Oullins,69149,69600,Appartement,63.0,577100.0,9160.32,2024-01-05
Oullins,69149,69600,Appartement,70.0,577100.0,8244.29,2024-01-05
Oullins,69149,69600,Appartement,63.0,577100.0,9160.32,2024-01-05
Oullins,69149,69600,Appartement,70.0,577100.0,8244.29,2024-01-05
Oullins,69149,69600,Appartement,63.0,577100.0,9160.32,2024-01-05
Oullins,69149,69600,Appartement,70.0,577100.0,8244.29,2024-01-05
Saint-Cyr-au-Mont-d'Or,69191,69450,Appartement,55.0,250000.0,4545.45,2024-01-08
Caluire-et-Cuire,69034,69300,Appartement,108.0,445000.0,4120.37,2024-01-05
Sainte-Foy-lès-Lyon,69202,69110,Appartement,71.0,267000.0,3760.56,2024-01-11
Brindas,69028,69126,Maison,138.0,737860.0,5346.81,2024-01-11
Cublize,69070,69550,Maison,170.0,345000.0,2029.41,2024-01-15
Belleville-en-Beaujolais,69019,69220,Appartement,56.0,137970.0,2463.75,2024-01-11
Villefranche-sur-Saône,69264,69400,Appartement,50.0,130000.0,2600.0,2024-01-15
Vindry-sur-Turdine,69157,69490,Appartement,56.0,330000.0,5892.86,2024-01-05
Vindry-sur-Turdine,69157,69490,Appartement,56.0,330000.0,5892.86,2024-01-05
Vindry-sur-Turdine,69157,69490,Appartement,56.0,330000.0,5892.86,2024-01-05
Vindry-sur-Turdine,69157,69490,Maison,100.0,330000.0,3300.0,2024-01-05
Lyon 5e Arrondissement,69385,69005,Appartement,45.0,360000.0,8000.0,2024-01-04
Lyon 5e Arrondissement,69385,69005,Appartement,45.0,360000.0,8000.0,2024-01-04
Deux-Grosnes,69135,69860,Maison,51.0,87000.0,1705.88,2024-01-11
Belleville-en-Beaujolais,69019,69220,Maison,104.0,470000.0,4519.23,2024-01-09
Belleville-en-Beaujolais,69019,69220,Maison,104.0,470000.0,4519.23,2024-01-09
Belleville-en-Beaujolais,69019,69220,Maison,104.0,470000.0,4519.23,2024-01-09
Lyon 1er Arrondissement,69381,69001,Appartement,39.0,215000.0,5512.82,2024-01-10
Oullins,69149,69600,Appartement,29.0,115000.0,3965.52,2024-01-05
Lyon 5e Arrondissement,69385,69005,Maison,125.0,840000.0,6720.0,2024-01-12
Lyon 1er Arrondissement,69381,69001,Appartement,111.0,558000.0,5027.03,2024-01-08
Francheville,69089,69340,Appartement,49.0,208000.0,4244.9,2024-01-10
Vaugneray,69255,69670,Maison,103.0,493500.0,4791.26,2024-01-12
Francheville,69089,69340,Appartement,60.0,590000.0,9833.33,2024-01-02
Francheville,69089,69340,Appartement,84.0,590000.0,7023.81,2024-01-02
Francheville,69089,69340,Appartement,29.0,590000.0,20344.83,2024-01-02
Francheville,69089,69340,Appartement,98.0,590000.0,6020.41,2024-01-02
Porte des Pierres Dorées,69159,69400,Maison,84.0,279400.0,3326.19,2024-01-10
Francheville,69089,69340,Maison,70.0,395000.0,5642.86,2024-01-18
Francheville,69089,69340,Maison,70.0,395000.0,5642.86,2024-01-18
Gleizé,69092,69400,Appartement,94.0,332000.0,3531.91,2024-01-09
Rillieux-la-Pape,69286,69140,Maison,142.0,565000.0,3978.87,2024-01-04
Tassin-la-Demi-Lune,69244,69160,Appartement,91.0,320110.0,3517.69,2024-01-10
Soucieu-en-Jarrest,69176,69510,Appartement,39.0,115500.0,2961.54,2024-01-10
Lyon 4e Arrondissement,69384,69004,Appartement,116.0,493000.0,4250.0,2024-01-08
Brignais,69027,69530,Appartement,79.0,328150.0,4153.8,2024-01-16
Caluire-et-Cuire,69034,69300,Appartement,54.0,235010.0,4352.04,2024-01-15
Lyon 1er Arrondissement,69381,69001,Appartement,68.0,320000.0,4705.88,2024-01-18
Belleville-en-Beaujolais,69019,69220,Maison,106.0,375000.0,3537.74,2024-01-09
Lyon 9e Arrondissement,69389,69009,Appartement,74.0,332000.0,4486.49,2024-01-15
Caluire-et-Cuire,69034,69300,Appartement,47.0,205000.0,4361.7,2024-01-19
La Mulatière,69142,69350,Maison,82.0,500000.0,6097.56,2024-01-15
Anse,69009,69480,Appartement,86.0,320150.0,3722.67,2024-01-16
Givors,69091,69700,Appartement,41.0,156000.0,3804.88,2024-01-10
Sainte-Foy-lès-Lyon,69202,69110,Appartement,77.0,232000.0,3012.99,2024-01-09
Sainte-Foy-lès-Lyon,69202,69110,Maison,32.0,90000.0,2812.5,2024-01-09
Caluire-et-Cuire,69034,69300,Appartement,57.0,213400.0,3743.86,2024-01-05
Vernaison,69260,69390,Appartement,78.0,64900.0,832.05,2024-01-11
Lyon 9e Arrondissement,69389,69009,Appartement,205.0,669300.0,3264.88,2024-01-04
Blacé,69023,69460,Maison,78.0,250000.0,3205.13,2024-01-15
Saint-Jean-la-Bussière,69214,69550,Maison,87.0,215000.0,2471.26,2024-01-11
Cailloux-sur-Fontaines,69033,69270,Maison,140.0,690000.0,4928.57,2024-01-19
Cailloux-sur-Fontaines,69033,69270,Maison,140.0,690000.0,4928.57,2024-01-19
Lyon 2e Arrondissement,69382,69002,Appartement,35.0,160000.0,4571.43,2024-01-15
Millery,69133,69390,Appartement,45.0,370000.0,8222.22,2024-01-09
Millery,69133,69390,Maison,72.0,370000.0,5138.89,2024-01-09
Millery,69133,69390,Appartement,80.0,370000.0,4625.0,2024-01-09
Saint-Germain-Nuelles,69208,69210,Maison,140.0,730000.0,5214.29,2024-01-12
Lyon 5e Arrondissement,69385,69005,Appartement,42.0,199000.0,4738.1,2024-01-09
Thurins,69249,69510,Maison,210.0,443200.0,2110.48,2024-01-15
Thurins,69249,69510,Maison,210.0,443200.0,2110.48,2024-01-15
Écully,69081,69130,Appartement,86.0,352430.0,4098.02,2024-01-10
Lozanne,69121,69380,Appartement,80.0,366800.0,4585.0,2024-01-15
Lozanne,69121,69380,Maison,125.0,460800.0,3686.4,2024-01-19
Dardilly,69072,69570,Appartement,87.0,350690.0,4030.92,2024-01-12
Lyon 5e Arrondissement,69385,69005,Appartement,66.0,195000.0,2954.55,2024-01-05
Villefranche-sur-Saône,69264,69400,Appartement,33.0,87000.0,2636.36,2024-01-10
Juliénas,69103,69840,Maison,144.0,240000.0,1666.67,2024-01-04
Larajasse,69110,69590,Maison,158.0,458550.0,2902.22,2024-01-17
Larajasse,69110,69590,Maison,158.0,458550.0,2902.22,2024-01-17
Villefranche-sur-Saône,69264,69400,Appartement,98.0,221300.0,2258.16,2024-01-09
Lyon 5e Arrondissement,69385,69005,Appartement,64.0,167950.0,2624.22,2024-01-15
Villefranche-sur-Saône,69264,69400,Appartement,51.0,148000.0,2901.96,2024-01-16
Caluire-et-Cuire,69034,69300,Appartement,82.0,254125.0,3099.09,2024-01-11
Neuville-sur-Saône,69143,69250,Appartement,32.0,93000.0,2906.25,2024-01-19
Lyon 4e Arrondissement,69384,69004,Appartement,73.0,390000.0,5342.47,2024-01-19
Lyon 2e Arrondissement,69382,69002,Appartement,131.0,845000.0,6450.38,2024-01-12
Neuville-sur-Saône,69143,69250,Maison,160.0,890000.0,5562.5,2024-01-19
Francheville,69089,69340,Appartement,38.0,164400.0,4326.32,2024-01-19
Caluire-et-Cuire,69034,69300,Appartement,70.0,459000.0,6557.14,2024-01-19
Pollionnay,69154,69290,Maison,185.0,902400.0,4877.84,2024-01-03
Pollionnay,69154,69290,Maison,185.0,902400.0,4877.84,2024-01-03
Pollionnay,69154,69290,Maison,185.0,902400.0,4877.84,2024-01-03
Dardilly,69072,69570,Appartement,85.0,382000.0,4494.12,2024-01-10
Villefranche-sur-Saône,69264,69400,Appartement,79.0,130000.0,1645.57,2024-01-08
Sathonay-Village,69293,69580,Maison,90.0,485000.0,5388.89,2024-01-17
Francheville,69089,69340,Appartement,41.0,185000.0,4512.2,2024-01-15
Denicé,69074,69640,Maison,83.0,160000.0,1927.71,2024-01-17
Denicé,69074,69640,Maison,52.0,160000.0,3076.92,2024-01-17
Tassin-la-Demi-Lune,69244,69160,Appartement,72.0,228000.0,3166.67,2024-01-15
Saint-Romain-au-Mont-d'Or,69233,69270,Maison,63.0,654200.0,10384.13,2024-01-19
Lyon 5e Arrondissement,69385,69005,Appartement,28.0,81000.0,2892.86,2024-01-10
Lyon 5e Arrondissement,69385,69005,Appartement,28.0,81000.0,2892.86,2024-01-10
Caluire-et-Cuire,69034,69300,Appartement,94.0,486800.0,5178.72,2024-01-10
Lyon 9e Arrondissement,69389,69009,Appartement,64.0,296800.0,4637.5,2024-01-18
Loire-sur-Rhône,69118,69700,Maison,93.0,400000.0,4301.08,2024-01-15
Loire-sur-Rhône,69118,69700,Maison,93.0,400000.0,4301.08,2024-01-15
La Tour-de-Salvagny,69250,69890,Appartement,45.0,198000.0,4400.0,2024-01-08
La Tour-de-Salvagny,69250,69890,Appartement,25.0,117000.0,4680.0,2024-01-08
Vaugneray,69255,69670,Maison,201.0,730000.0,3631.84,2024-01-15
Vaugneray,69255,69670,Maison,201.0,730000.0,3631.84,2024-01-15
Brignais,69027,69530,Appartement,73.0,290000.0,3972.6,2024-01-15
Villefranche-sur-Saône,69264,69400,Appartement,51.0,104000.0,2039.22,2024-01-18
Lyon 2e Arrondissement,69382,69002,Appartement,18.0,105000.0,5833.33,2024-01-17
Écully,69081,69130,Appartement,77.0,293050.0,3805.84,2024-01-08
Tassin-la-Demi-Lune,69244,69160,Appartement,109.0,375075.0,3441.06,2024-01-16
Lyon 2e Arrondissement,69382,69002,Appartement,31.0,202510.0,6532.58,2024-01-12
Saint-Genis-Laval,69204,69230,Appartement,30.0,126000.0,4200.0,2024-01-12
Lyon 9e Arrondissement,69389,69009,Appartement,72.0,198600.0,2758.33,2024-01-22
Saint-Didier-au-Mont-d'Or,69194,69370,Maison,132.0,785000.0,5946.97,2024-01-11
Sainte-Foy-lès-Lyon,69202,69110,Appartement,83.0,265000.0,3192.77,2024-01-08
