commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Saint-Orens-de-Gameville,31506,31650,Appartement,34.0,90400.0,2658.82,2024-01-02
Fronton,31202,31620,Maison,92.0,241059.0,2620.21,2024-01-05
Vacquiers,31563,31340,Maison,99.0,230000.0,2323.23,2024-01-06
Vacquiers,31563,31340,Maison,99.0,230000.0,2323.23,2024-01-06
Ramonville-Saint-Agne,31446,31520,Appartement,47.0,132000.0,2808.51,2024-01-04
Toulouse,31555,31200,Appartement,62.0,141680.0,2285.16,2024-01-05
Toulouse,31555,31500,Appartement,36.0,85000.0,2361.11,2024-01-05
Toulouse,31555,31500,Appartement,58.0,130000.0,2241.38,2024-01-05
Toulouse,31555,31000,Appartement,19.0,88000.0,4631.58,2024-01-05
Pompertuzat,31429,31450,Appartement,46.0,113000.0,2456.52,2024-01-02
Plaisance-du-Touch,31424,31830,Maison,89.0,163000.0,1831.46,2024-01-04
Toulouse,31555,31500,Appartement,61.0,280000.0,4590.16,2024-01-08
Toulouse,31555,31500,Appartement,65.0,200000.0,3076.92,2024-01-08
Toulouse,31555,31300,Appartement,27.0,120404.0,4459.41,2024-01-05
Toulouse,31555,31500,Appartement,85.0,345800.0,4068.24,2024-01-04
Toulouse,31555,31000,Appartement,120.0,680000.0,5666.67,2024-01-02
Montastruc-la-Conseillère,31358,31380,Maison,191.0,382100.0,2000.52,2024-01-09
Léguevin,31291,31490,Appartement,30.0,70000.0,2333.33,2024-01-05
Launaguet,31282,31140,Appartement,24.0,60000.0,2500.0,2024-01-03
Plaisance-du-Touch,31424,31830,Maison,219.0,435300.0,1987.67,2024-01-02
Toulouse,31555,31400,Appartement,19.0,60496.2,3184.01,2024-01-05
Toulouse,31555,31400,Maison,152.0,627068.0,4125.45,2024-01-04
La Salvetat-Saint-Gilles,31526,31880,Appartement,61.0,125000.0,2049.18,2024-01-09
Bessières,31066,31660,Appartement,68.0,218000.0,3205.88,2024-01-10
Bessières,31066,31660,Appartement,90.0,218000.0,2422.22,2024-01-10
Toulouse,31555,31000,Appartement,150.0,420000.0,2800.0,2024-01-05
Toulouse,31555,31500,Appartement,75.0,135000.0,1800.0,2024-01-04
Gratentour,31230,31150,Maison,71.0,253500.0,3570.42,2024-01-03
Colomiers,31149,31770,Maison,111.0,321000.0,2891.89,2024-01-10
Pibrac,31417,31820,Maison,118.0,296200.0,2510.17,2024-01-10
Toulouse,31555,31000,Appartement,56.0,245600.0,4385.71,2024-01-10
Léguevin,31291,31490,Appartement,63.0,140000.0,2222.22,2024-01-09
Toulouse,31555,31000,Appartement,35.0,141850.0,4052.86,2024-01-03
Cugnaux,31157,31270,Maison,105.0,274750.0,2616.67,2024-01-05
Baziège,31048,31450,Maison,82.0,254400.0,3102.44,2024-01-03
Aucamville,31022,31140,Maison,87.0,225000.0,2586.21,2024-01-10
Nailloux,31396,31560,Maison,90.0,227150.0,2523.89,2024-01-08
Bessières,31066,31660,Maison,117.0,299485.0,2559.7,2024-01-05
Toulouse,31555,31200,Maison,90.0,245160.0,2724.0,2024-01-03
Toulouse,31555,31100,Appartement,100.0,283280.0,2832.8,2024-01-03
Toulouse,31555,31100,Appartement,67.0,283280.0,4228.06,2024-01-03
Quint-Fonsegrives,31445,31130,Appartement,48.0,180150.0,3753.12,2024-01-05
Toulouse,31555,31300,Appartement,41.0,115000.0,2804.88,2024-01-10
Toulouse,31555,31500,Appartement,66.0,227000.0,3439.39,2024-01-11
Toulouse,31555,31200,Appartement,64.0,152750.0,2386.72,2024-01-09
Toulouse,31555,31400,Appartement,61.0,220500.0,3614.75,2024-01-09
Toulouse,31555,31200,Appartement,52.0,166250.0,3197.12,2024-01-05
Toulouse,31555,31300,Appartement,65.0,251510.0,3869.38,2024-01-11
Toulouse,31555,31400,Appartement,15.0,47500.0,3166.67,2024-01-08
Toulouse,31555,31100,Appartement,64.0,98000.0,1531.25,2024-01-02
Toulouse,31555,31300,Appartement,43.0,121000.0,2813.95,2024-01-10
Toulouse,31555,31500,Appartement,48.0,184800.0,3850.0,2024-01-11
Toulouse,31555,31300,Appartement,20.0,69950.0,3497.5,2024-01-03
Toulouse,31555,31200,Appartement,42.0,95000.0,2261.9,2024-01-05
Tournefeuille,31557,31170,Maison,94.0,354650.0,3772.87,2024-01-03
Bessières,31066,31660,Maison,104.0,261000.0,2509.62,2024-01-05
Bessières,31066,31660,Maison,104.0,261000.0,2509.62,2024-01-05
Toulouse,31555,31500,Maison,61.0,172500.0,2827.87,2024-01-12
Toulouse,31555,31200,Appartement,83.0,281000.0,3385.54,2024-01-09
Toulouse,31555,31000,Appartement,32.0,150000.0,4687.5,2024-01-09
Toulouse,31555,31300,Appartement,66.0,269500.0,4083.33,2024-01-04
Cugnaux,31157,31270,Appartement,62.0,164190.0,2648.23,2024-01-08
Castelginest,31116,31780,Maison,113.0,387500.0,3429.2,2024-01-12
Saint-Paul-sur-Save,31507,31530,Maison,328.0,475000.0,1448.17,2024-01-12
Péchabou,31409,31320,Maison,83.0,295000.0,3554.22,2024-01-12
Toulouse,31555,31400,Appartement,22.0,78000.0,3545.45,2024-01-12
Beauzelle,31056,31700,Appartement,62.0,192500.0,3104.84,2024-01-09
Toulouse,31555,31500,Appartement,53.0,166000.0,3132.08,2024-01-15
Toulouse,31555,31200,Appartement,87.0,249400.0,2866.67,2024-01-15
Toulouse,31555,31100,Appartement,48.0,94850.0,1976.04,2024-01-10
Toulouse,31555,31500,Maison,62.0,373000.0,6016.13,2024-01-12
Toulouse,31555,31200,Appartement,62.0,117000.0,1887.1,2024-01-02
Toulouse,31555,31100,Maison,110.0,660000.0,6000.0,2024-01-11
Drémil-Lafage,31163,31280,Maison,170.0,366700.0,2157.06,2024-01-11
Drémil-Lafage,31163,31280,Maison,170.0,366700.0,2157.06,2024-01-11
Toulouse,31555,31400,Appartement,30.0,89500.0,2983.33,2024-01-03
Merville,31341,31330,Maison,102.0,338845.0,3322.01,2024-01-04
Merville,31341,31330,Maison,102.0,338845.0,3322.01,2024-01-04
Toulouse,31555,31000,Appartement,18.0,98425.0,5468.06,2024-01-09
Toulouse,31555,31400,Appartement,21.0,107230.0,5106.19,2024-01-09
Toulouse,31555,31500,Appartement,60.0,284200.0,4736.67,2024-01-10
Toulouse,31555,31200,Appartement,61.0,148000.0,2426.23,2024-01-08
Saint-Orens-de-Gameville,31506,31650,Maison,110.0,260000.0,2363.64,2024-01-12
Castelnau-d'Estrétefonds,31118,31620,Maison,89.0,207912.05,2336.09,2024-01-12
Colomiers,31149,31770,Appartement,50.0,115000.0,2300.0,2024-01-09
Léguevin,31291,31490,Maison,77.0,146000.0,1896.1,2024-01-11
Toulouse,31555,31100,Appartement,82.0,70000.0,853.66,2024-01-05
Colomiers,31149,31770,Maison,103.0,360170.0,3496.8,2024-01-11
Toulouse,31555,31000,Appartement,27.0,114000.0,4222.22,2024-01-03
Toulouse,31555,31400,Appartement,32.0,108000.0,3375.0,2024-01-05
Toulouse,31555,31300,Appartement,52.0,173835.0,3342.98,2024-01-04
Toulouse,31555,31200,Appartement,66.0,178780.0,2708.79,2024-01-15
Toulouse,31555,31100,Appartement,67.0,60000.0,895.52,2024-01-08
Toulouse,31555,31100,Appartement,44.0,141000.0,3204.55,2024-01-03
Saint-Orens-de-Gameville,31506,31650,Appartement,34.0,131000.0,3852.94,2024-01-02
Toulouse,31555,31400,Appartement,54.0,200000.0,3703.7,2024-01-12
Castelnau-d'Estrétefonds,31118,31620,Maison,165.0,447280.0,2710.79,2024-01-11
Brax,31088,31490,Appartement,65.0,170780.0,2627.38,2024-01-15
Toulouse,31555,31000,Appartement,31.0,180000.0,5806.45,2024-01-11
Mondonville,31351,31700,Appartement,40.0,90000.0,2250.0,2024-01-11
Toulouse,31555,31200,Appartement,57.0,265400.0,4656.14,2024-01-16
Toulouse,31555,31200,Appartement,66.0,256000.0,3878.79,2024-01-15
Toulouse,31555,31300,Appartement,61.0,160000.0,2622.95,2024-01-09
Toulouse,31555,31400,Appartement,46.0,172250.0,3744.57,2024-01-10
Beauzelle,31056,31700,Appartement,63.0,223900.0,3553.97,2024-01-03
Villefranche-de-Lauragais,31582,31290,Maison,100.0,265200.0,2652.0,2024-01-15
Toulouse,31555,31500,Appartement,70.0,1117000.0,15957.14,2024-01-08
Toulouse,31555,31500,Appartement,70.0,1117000.0,15957.14,2024-01-08
Toulouse,31555,31400,Appartement,26.0,90000.0,3461.54,2024-01-16
Toulouse,31555,31100,Appartement,35.0,96250.0,2750.0,2024-01-05
Toulouse,31555,31100,Maison,91.0,170000.0,1868.13,2024-01-03
Toulouse,31555,31200,Appartement,29.0,76000.0,2620.69,2024-01-15
Toulouse,31555,31500,Appartement,49.0,172000.0,3510.2,2024-01-05
Toulouse,31555,31300,Appartement,43.0,168000.0,3906.98,2024-01-12
Toulouse,31555,31500,Appartement,74.0,295399.5,3991.89,2024-01-05
Brax,31088,31490,Maison,113.0,500000.0,4424.78,2024-01-17
Toulouse,31555,31100,Maison,95.0,288123.0,3032.87,2024-01-12
Léguevin,31291,31490,Appartement,67.0,159000.0,2373.13,2024-01-11
Toulouse,31555,31100,Appartement,35.0,138190.0,3948.29,2024-01-15
Toulouse,31555,31200,Appartement,62.0,201950.0,3257.26,2024-01-05
Saint-Alban,31467,31140,Maison,95.0,260400.0,2741.05,2024-01-09
Fronton,31202,31620,Maison,142.0,268500.0,1890.85,2024-01-09
Toulouse,31555,31400,Appartement,48.0,171000.0,3562.5,2024-01-09
Toulouse,31555,31000,Appartement,44.0,111110.0,2525.23,2024-01-16
Grenade,31232,31330,Maison,150.0,183300.0,1222.0,2024-01-03
Grenade,31232,31330,Maison,150.0,183300.0,1222.0,2024-01-03
Léguevin,31291,31490,Maison,119.0,404740.0,3401.18,2024-01-16
Grenade,31232,31330,Appartement,42.0,90180.0,2147.14,2024-01-10
Plaisance-du-Touch,31424,31830,Maison,89.0,348660.0,3917.53,2024-01-08
Le Burgaud,31093,31330,Maison,100.0,231650.0,2316.5,2024-01-08
Grenade,31232,31330,Maison,84.0,191000.0,2273.81,2024-01-12
