commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Juvignac,34123,34990,Maison,127.0,500000.0,3937.01,2024-01-03
Montpellier,34172,34080,Appartement,17.0,40000.0,2352.94,2024-01-05
Montpellier,34172,34090,Maison,65.0,263660.0,4056.31,2024-01-05
Montpellier,34172,34090,Appartement,43.0,160500.0,3732.56,2024-01-05
Pignan,34202,34570,Appartement,66.0,250000.0,3787.88,2024-01-08
Balaruc-les-Bains,34023,34540,Appartement,17.0,70300.0,4135.29,2024-01-05
Montpellier,34172,34000,Appartement,42.0,152550.0,3632.14,2024-01-05
Montpellier,34172,34000,Appartement,29.0,131530.8,4535.54,2024-01-05
Marsillargues,34151,34590,Maison,91.0,249950.0,2746.7,2024-01-03
Lunel,34145,34400,Appartement,35.0,85000.0,2428.57,2024-01-05
La Grande-Motte,34344,34280,Appartement,18.0,102000.0,5666.67,2024-01-08
Lunel,34145,34400,Appartement,52.0,118000.0,2269.23,2024-01-04
Sète,34301,34200,Appartement,56.0,210000.0,3750.0,2024-01-03
La Grande-Motte,34344,34280,Appartement,28.0,120000.0,4285.71,2024-01-11
Montpellier,34172,34070,Appartement,70.0,170500.0,2435.71,2024-01-09
Montpellier,34172,34000,Appartement,21.0,100000.0,4761.9,2024-01-04
Pérols,34198,34470,Maison,93.0,453200.0,4873.12,2024-01-04
Montpellier,34172,34090,Appartement,18.0,78000.0,4333.33,2024-01-03
La Boissière,34035,34150,Maison,140.0,531500.0,3796.43,2024-01-11
La Boissière,34035,34150,Maison,140.0,531500.0,3796.43,2024-01-11
Frontignan,34108,34110,Appartement,71.0,143000.0,2014.08,2024-01-05
Frontignan,34108,34110,Maison,95.0,150000.0,1578.95,2024-01-05
Gignac,34114,34150,Maison,111.0,333700.0,3006.31,2024-01-03
Montpellier,34172,34090,Appartement,30.0,105000.0,3500.0,2024-01-05
Montpellier,34172,34090,Appartement,39.0,105000.0,2692.31,2024-01-05
Frontignan,34108,34110,Appartement,27.0,155000.0,5740.74,2024-01-05
Aniane,34010,34150,Maison,136.0,300000.0,2205.88,2024-01-03
Montpellier,34172,34070,Appartement,40.0,100000.0,2500.0,2024-01-04
Montpellier,34172,34000,Appartement,16.0,47000.0,2937.5,2024-01-12
Montpellier,34172,34000,Appartement,88.0,265000.0,3011.36,2024-01-03
Montpellier,34172,34080,Appartement,55.0,135000.0,2454.55,2024-01-09
Montpellier,34172,34070,Appartement,36.0,55619.48,1544.99,2024-01-05
Montpellier,34172,34000,Appartement,9.0,37050.0,4116.67,2024-01-10
Balaruc-les-Bains,34023,34540,Appartement,21.0,103690.0,4937.62,2024-01-08
Le Bosc,34036,34700,Maison,123.0,300600.0,2443.9,2024-01-08
