commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Pont-à-Marcq,59466,59710,Maison,122.0,420000.0,3442.62,2024-01-03
Lys-lez-Lannoy,59367,59390,Maison,203.0,476700.0,2348.28,2024-01-04
Dechy,59170,59187,Maison,115.0,153000.0,1330.43,2024-01-03
Leers,59339,59115,Maison,53.0,135000.0,2547.17,2024-01-02
Lille,59350,59260,Maison,95.0,232000.0,2442.11,2024-01-05
Marcq-en-Barœul,59378,59700,Appartement,15.0,56000.0,3733.33,2024-01-02
Wasquehal,59646,59290,Maison,155.0,542500.0,3500.0,2024-01-05
La Chapelle-d'Armentières,59143,59930,Maison,146.0,500000.0,3424.66,2024-01-05
La Chapelle-d'Armentières,59143,59930,Maison,146.0,500000.0,3424.66,2024-01-05
Ronchin,59507,59790,Maison,105.0,244650.0,2330.0,2024-01-05
Bauvin,59052,59221,Maison,90.0,134000.0,1488.89,2024-01-02
Tourcoing,59599,59200,Appartement,90.0,184950.0,2055.0,2024-01-08
Faches-Thumesnil,59220,59155,Maison,82.0,264275.0,3222.87,2024-01-05
Lille,59350,59000,Appartement,13.0,57500.0,4423.08,2024-01-05
Croix,59163,59170,Maison,72.0,95000.0,1319.44,2024-01-05
Villeneuve-d'Ascq,59009,59650,Appartement,85.0,275000.0,3235.29,2024-01-05
Lannoy,59332,59390,Maison,99.0,140000.0,1414.14,2024-01-03
Marcq-en-Barœul,59378,59700,Appartement,70.0,105000.0,1500.0,2024-01-02
Lille,59350,59260,Maison,90.0,235000.0,2611.11,2024-01-04
Lille,59350,59800,Maison,70.0,140000.0,2000.0,2024-01-05
Loos,59360,59120,Appartement,63.0,153500.0,2436.51,2024-01-09
Roubaix,59512,59100,Maison,70.0,169000.0,2414.29,2024-01-08
Faumont,59222,59310,Maison,98.0,490300.0,5003.06,2024-01-09
La Chapelle-d'Armentières,59143,59930,Maison,44.0,116000.0,2636.36,2024-01-08
Lille,59350,59000,Appartement,90.0,194000.0,2155.56,2024-01-03
Lille,59350,59000,Appartement,42.0,194000.0,4619.05,2024-01-03
Salomé,59550,59496,Maison,106.0,225770.0,2129.91,2024-01-08
Lille,59350,59000,Appartement,16.0,70000.0,4375.0,2024-01-04
Bauvin,59052,59221,Maison,101.0,172500.0,1707.92,2024-01-05
Tourcoing,59599,59200,Appartement,85.0,80000.0,941.18,2024-01-02
Villeneuve-d'Ascq,59009,59493,Maison,122.0,616000.0,5049.18,2024-01-08
Villeneuve-d'Ascq,59009,59493,Maison,122.0,616000.0,5049.18,2024-01-08
Villeneuve-d'Ascq,59009,59493,Maison,94.0,266000.0,2829.79,2024-01-05
Lille,59350,59000,Appartement,36.0,117100.0,3252.78,2024-01-09
Tourcoing,59599,59200,Appartement,64.0,88000.0,1375.0,2024-01-08
Villeneuve-d'Ascq,59009,59493,Maison,82.0,233000.0,2841.46,2024-01-05
Leers,59339,59115,Maison,100.0,219000.0,2190.0,2024-01-09
Roubaix,59512,59100,Maison,92.0,135000.0,1467.39,2024-01-09
Villeneuve-d'Ascq,59009,59650,Maison,108.0,430000.0,3981.48,2024-01-09
Sequedin,59566,59320,Maison,110.0,385000.0,3500.0,2024-01-10
Lys-lez-Lannoy,59367,59390,Maison,137.0,411635.0,3004.64,2024-01-10
Sainghin-en-Weppes,59524,59184,Maison,107.0,241000.0,2252.34,2024-01-04
Loos,59360,59120,Maison,89.0,181000.0,2033.71,2024-01-04
Croix,59163,59170,Appartement,42.0,158000.0,3761.9,2024-01-10
Mons-en-Barœul,59410,59370,Appartement,55.0,151700.0,2758.18,2024-01-08
Marcq-en-Barœul,59378,59700,Appartement,67.0,183250.0,2735.07,2024-01-11
Auberchicourt,59024,59165,Maison,124.0,103000.0,830.65,2024-01-05
Somain,59574,59490,Maison,76.0,119700.0,1575.0,2024-01-05
Tourcoing,59599,59200,Appartement,32.0,60000.0,1875.0,2024-01-04
Lannoy,59332,59390,Appartement,69.0,173000.0,2507.25,2024-01-11
Aniche,59008,59580,Maison,111.0,145000.0,1306.31,2024-01-05
Lille,59350,59800,Appartement,35.0,96000.0,2742.86,2024-01-10
Mons-en-Barœul,59410,59370,Maison,161.0,612400.0,3803.73,2024-01-08
Lys-lez-Lannoy,59367,59390,Maison,82.0,211310.0,2576.95,2024-01-10
Fenain,59227,59179,Maison,108.0,186200.0,1724.07,2024-01-05
